Occupational Title,SOC,Estimated Employment,Entry Hourly,Mean Hourly,Experienced Hourly,Entry Annual,Mean Annual,Experienced Annual
Total all occupations,00-0000,260190.00,$15.04,$34.78,$44.65,$31291,$72342,$92868
Management Occupations,11-0000,15730.00,$35.32,$68.44,$85.00,$73467,$142351,$176793
Top Executives,11-1000,4240.00,$35.11,$77.21,$98.27,$73016,$160608,$204404
Chief Executives,11-1011,90.00,$63.46,$108.52,$131.05,$131996,$225720,$272582
General and Operations Managers,11-1021,4090.00,$35.88,$77.30,$98.00,$74645,$160785,$203856
Legislators,11-1031,60.00,,,,$23010,$42718,$52573
"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",11-2000,880.00,$39.90,$72.75,$89.18,$82985,$151330,$185502
Marketing Managers,11-2021,210.00,$38.00,$69.94,$85.91,$79033,$145474,$178695
Sales Managers,11-2022,610.00,$41.18,$74.70,$91.46,$85662,$155374,$190230
Public Relations Managers,11-2032,40.00,$36.01,$66.39,$81.59,$74894,$138105,$169711
Fundraising Managers,11-2033,20.00,$37.64,$54.54,$62.99,$78289,$113442,$131019
Operations Specialties Managers,11-3000,4330.00,$47.16,$73.99,$87.41,$98078,$153893,$181801
Administrative Services Managers,11-3012,120.00,$20.15,$50.08,$65.06,$41903,$104173,$135307
Facilities Managers,11-3013,160.00,$43.04,$63.16,$73.22,$89526,$131367,$152287
Computer and Information Systems Managers,11-3021,1800.00,$50.43,$77.71,$91.35,$104901,$161629,$189993
Financial Managers,11-3031,750.00,$51.86,$81.76,$96.71,$107874,$170066,$201162
Industrial Production Managers,11-3051,440.00,$46.30,$70.72,$82.94,$96287,$147093,$172496
Purchasing Managers,11-3061,490.00,$53.52,$72.03,$81.28,$111332,$149808,$169046
"Transportation, Storage, and Distribution Managers",11-3071,220.00,$39.06,$58.42,$68.09,$81240,$121511,$141646
Human Resources Managers,11-3121,330.00,$44.12,$68.81,$81.16,$91775,$143134,$168813
Training and Development Managers,11-3131,20.00,$41.46,$60.56,$70.11,$86232,$125964,$145830
Other Management Occupations,11-9000,6280.00,$30.53,$58.09,$71.87,$63512,$120823,$149479
Construction Managers,11-9021,720.00,$32.00,$53.54,$64.31,$66559,$111367,$133771
"Education and Childcare Administrators, Preschool and Daycare",11-9031,90.00,$16.71,$23.48,$26.86,$34754,$48830,$55868
"Education Administrators, Kindergarten through Secondary",11-9032,310.00,,,,$79776,$101499,$112362
"Education Administrators, Postsecondary",11-9033,360.00,$35.16,$61.88,$75.25,$73117,$128714,$156513
"Education Administrators, All Other",11-9039,,$23.38,$41.04,$49.87,$48617,$85364,$103738
Architectural and Engineering Managers,11-9041,1560.00,$59.47,$84.03,$96.32,$123696,$174802,$200355
Food Service Managers,11-9051,620.00,$25.25,$33.62,$37.81,$52533,$69939,$78642
Lodging Managers,11-9081,40.00,$27.15,$39.60,$45.81,$56476,$82351,$95287
Medical and Health Services Managers,11-9111,900.00,$35.71,$51.09,$58.78,$74270,$106262,$122258
Natural Sciences Managers,11-9121,90.00,$43.89,$64.36,$74.60,$91291,$133878,$155171
Postmasters and Mail Superintendents,11-9131,10.00,$41.86,$47.93,$50.97,$87069,$99710,$106030
"Property, Real Estate, and Community Association Managers",11-9141,410.00,$20.47,$31.58,$37.13,$42588,$65683,$77231
Social and Community Service Managers,11-9151,170.00,$24.18,$36.67,$42.91,$50302,$76280,$89269
Emergency Management Directors,11-9161,10.00,$28.52,$45.44,$53.90,$59330,$94519,$112112
Funeral Home Managers,11-9171,40.00,$24.44,$38.83,$46.02,$50850,$80758,$95711
"Managers, All Other",11-9199,570.00,$55.67,$77.44,$88.32,$115804,$161064,$183694
Business and Financial Operations Occupations,13-0000,20940.00,$29.04,$50.28,$60.89,$60409,$104569,$126650
Business Operations Specialists,13-1000,15530.00,$30.26,$51.61,$62.28,$62953,$107338,$129531
Buyers and Purchasing Agents,13-1020,2630.00,$29.13,$48.00,$57.43,$60597,$99839,$119461
"Claims Adjusters, Examiners, and Investigators",13-1031,120.00,$23.85,$36.13,$42.28,$49611,$75164,$87939
Compliance Officers,13-1041,410.00,$25.11,$42.47,$51.15,$52215,$88331,$106389
Cost Estimators,13-1051,290.00,$26.48,$42.12,$49.93,$55079,$87591,$103846
Human Resources Specialists,13-1071,1560.00,$24.65,$40.94,$49.10,$51276,$85171,$102119
Logisticians,13-1081,3050.00,$38.04,$54.81,$63.19,$79130,$113995,$131426
Project Management Specialists,13-1082,700.00,$38.94,$61.53,$72.83,$80991,$127991,$151490
Management Analysts,13-1111,1800.00,$41.35,$60.08,$69.44,$86007,$124963,$144442
"Meeting, Convention, and Event Planners",13-1121,120.00,$18.43,$27.10,$31.43,$38324,$56363,$65383
Fundraisers,13-1131,100.00,$19.74,$29.98,$35.11,$41055,$62368,$73025
"Compensation, Benefits, and Job Analysis Specialists",13-1141,60.00,$28.08,$39.84,$45.72,$58418,$82881,$95111
Training and Development Specialists,13-1151,530.00,$23.43,$39.08,$46.90,$48724,$81272,$97547
Market Research Analysts and Marketing Specialists,13-1161,1010.00,$19.76,$36.75,$45.26,$41083,$76454,$94140
"Business Operations Specialists, All Other",13-1199,3130.00,$41.02,$61.30,$71.44,$85314,$127503,$148597
Financial Specialists,13-2000,5410.00,$26.55,$46.45,$56.40,$55232,$96615,$117307
Accountants and Auditors,13-2011,3100.00,$26.94,$42.58,$50.40,$56032,$88572,$104842
Property Appraisers and Assessors,13-2020,50.00,$17.53,$31.53,$38.54,$36452,$65584,$80150
Budget Analysts,13-2031,580.00,$39.12,$55.61,$63.85,$81368,$115669,$132818
Credit Analysts,13-2041,10.00,$29.96,$45.62,$53.46,$62314,$94897,$111190
Financial and Investment Analysts,13-2051,640.00,$36.73,$57.15,$67.36,$76402,$118874,$140109
Personal Financial Advisors,13-2052,210.00,$22.96,$71.16,$95.27,$47761,$148021,$198150
Financial Examiners,13-2061,10.00,$35.55,$50.31,$57.68,$73938,$104633,$119981
Credit Counselors,13-2071,,$20.26,$23.95,$25.78,$42147,$49804,$53632
Loan Officers,13-2072,420.00,$22.41,$40.75,$49.91,$46621,$84757,$103825
"Tax Examiners and Collectors, and Revenue Agents",13-2081,90.00,$22.21,$31.33,$35.88,$46196,$65161,$74643
"Financial Specialists, All Other",13-2099,200.00,$27.45,$52.10,$64.42,$57099,$108368,$134003
Computer and Mathematical Occupations,15-0000,19700.00,$34.22,$57.99,$69.87,$71178,$120613,$145329
Computer Occupations,15-1200,18700.00,$33.91,$57.92,$69.91,$70539,$120466,$145430
Computer Systems Analysts,15-1211,3010.00,$40.61,$62.30,$73.15,$84472,$129597,$152158
Information Security Analysts,15-1212,1570.00,$39.34,$61.68,$72.84,$81826,$128278,$151503
Computer and Information Research Scientists,15-1221,490.00,$33.69,$54.72,$65.23,$70079,$113826,$135698
Computer Network Support Specialists,15-1231,260.00,$22.46,$33.99,$39.75,$46721,$70701,$82691
Computer User Support Specialists,15-1232,1290.00,$18.60,$26.30,$30.14,$38705,$54696,$62692
Computer Network Architects,15-1241,1390.00,$44.40,$67.93,$79.69,$92359,$141289,$165754
Database Administrators,15-1242,260.00,$33.94,$50.14,$58.23,$70602,$104280,$121119
Database Architects,15-1243,110.00,$41.20,$61.32,$71.38,$85695,$127548,$148475
Network and Computer Systems Administrators,15-1244,1200.00,$33.71,$50.38,$58.71,$70127,$104795,$122128
Computer Programmers,15-1251,270.00,$35.24,$54.69,$64.42,$73294,$113761,$133994
Software Developers,15-1252,7010.00,$39.26,$62.38,$73.95,$81667,$129753,$153796
Software Quality Assurance Analysts and Testers,15-1253,880.00,$39.46,$56.71,$65.33,$82081,$117958,$135895
Web Developers,15-1254,120.00,$25.57,$36.77,$42.37,$53171,$76472,$88121
Web and Digital Interface Designers,15-1255,,$18.12,$31.70,$38.49,$37706,$65932,$80046
"Computer Occupations, All Other",15-1299,820.00,$35.76,$57.36,$68.16,$74383,$119311,$141774
Mathematical Science Occupations,15-2000,1000.00,$40.84,$59.31,$68.54,$84945,$123356,$142561
Mathematicians,15-2021,20.00,,,,,,
Operations Research Analysts,15-2031,330.00,$44.00,$65.55,$76.33,$91515,$136350,$158767
Statisticians,15-2041,20.00,$33.78,$49.95,$58.02,$70279,$103887,$120690
Data Scientists,15-2051,630.00,$39.93,$56.17,$64.28,$83049,$116822,$133708
Architecture and Engineering Occupations,17-0000,20060.00,$36.71,$61.80,$74.35,$76358,$128553,$154650
"Architects, Surveyors, and Cartographers",17-1000,410.00,$26.71,$43.62,$52.06,$55561,$90712,$108287
"Architects, Except Landscape and Naval",17-1011,180.00,$34.28,$52.51,$61.63,$71306,$109238,$128203
Cartographers and Photogrammetrists,17-1021,10.00,$20.86,$32.29,$38.00,$43370,$67159,$79054
Surveyors,17-1022,190.00,$23.72,$36.64,$43.10,$49356,$76227,$89662
Engineers,17-2000,17220.00,$42.38,$66.06,$77.90,$88142,$137403,$162033
Aerospace Engineers,17-2011,4580.00,$46.21,$71.04,$83.45,$96115,$147762,$173587
Chemical Engineers,17-2041,80.00,$38.49,$52.32,$59.23,$80060,$108810,$123185
Civil Engineers,17-2051,1250.00,$36.44,$56.91,$67.14,$75804,$118370,$139654
Computer Hardware Engineers,17-2061,650.00,$45.45,$68.16,$79.52,$94542,$141770,$165383
