Occupational Title,SOC,Estimated Employment,Entry Hourly,Mean Hourly,Experienced Hourly,Entry Annual,Mean Annual,Experienced Annual
Total all occupations,00-0000,"260,190.00",$15.04,$34.78,$44.65,"$31,291","$72,342","$92,868"
Management Occupations,11-0000,"15,730.00",$35.32,$68.44,$85.00,"$73,467","$142,351","$176,793"
Top Executives,11-1000,"4,240.00",$35.11,$77.21,$98.27,"$73,016","$160,608","$204,404"
Chief Executives,11-1011,90.00,$63.46,$108.52,$131.05,"$131,996","$225,720","$272,582"
General and Operations Managers,11-1021,"4,090.00",$35.88,$77.30,$98.00,"$74,645","$160,785","$203,856"
Legislators,11-1031,60.00,,,,"$23,010","$42,718","$52,573"
"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",11-2000,880.00,$39.90,$72.75,$89.18,"$82,985","$151,330","$185,502"
Marketing Managers,11-2021,210.00,$38.00,$69.94,$85.91,"$79,033","$145,474","$178,695"
Sales Managers,11-2022,610.00,$41.18,$74.70,$91.46,"$85,662","$155,374","$190,230"
Public Relations Managers,11-2032,40.00,$36.01,$66.39,$81.59,"$74,894","$138,105","$169,711"
Fundraising Managers,11-2033,20.00,$37.64,$54.54,$62.99,"$78,289","$113,442","$131,019"
Operations Specialties Managers,11-3000,"4,330.00",$47.16,$73.99,$87.41,"$98,078","$153,893","$181,801"
Administrative Services Managers,11-3012,120.00,$20.15,$50.08,$65.06,"$41,903","$104,173","$135,307"
Facilities Managers,11-3013,160.00,$43.04,$63.16,$73.22,"$89,526","$131,367","$152,287"
Computer and Information Systems Managers,11-3021,"1,800.00",$50.43,$77.71,$91.35,"$104,901","$161,629","$189,993"
Financial Managers,11-3031,750.00,$51.86,$81.76,$96.71,"$107,874","$170,066","$201,162"
Industrial Production Managers,11-3051,440.00,$46.30,$70.72,$82.94,"$96,287","$147,093","$172,496"
Purchasing Managers,11-3061,490.00,$53.52,$72.03,$81.28,"$111,332","$149,808","$169,046"
"Transportation, Storage, and Distribution Managers",11-3071,220.00,$39.06,$58.42,$68.09,"$81,240","$121,511","$141,646"
Human Resources Managers,11-3121,330.00,$44.12,$68.81,$81.16,"$91,775","$143,134","$168,813"
Training and Development Managers,11-3131,20.00,$41.46,$60.56,$70.11,"$86,232","$125,964","$145,830"
Other Management Occupations,11-9000,"6,280.00",$30.53,$58.09,$71.87,"$63,512","$120,823","$149,479"
Construction Managers,11-9021,720.00,$32.00,$53.54,$64.31,"$66,559","$111,367","$133,771"
"Education and Childcare Administrators, Preschool and Daycare",11-9031,90.00,$16.71,$23.48,$26.86,"$34,754","$48,830","$55,868"
"Education Administrators, Kindergarten through Secondary",11-9032,310.00,,,,"$79,776","$101,499","$112,362"
"Education Administrators, Postsecondary",11-9033,360.00,$35.16,$61.88,$75.25,"$73,117","$128,714","$156,513"
"Education Administrators, All Other",11-9039,,$23.38,$41.04,$49.87,"$48,617","$85,364","$103,738"
Architectural and Engineering Managers,11-9041,"1,560.00",$59.47,$84.03,$96.32,"$123,696","$174,802","$200,355"
Food Service Managers,11-9051,620.00,$25.25,$33.62,$37.81,"$52,533","$69,939","$78,642"
Lodging Managers,11-9081,40.00,$27.15,$39.60,$45.81,"$56,476","$82,351","$95,287"
Medical and Health Services Managers,11-9111,900.00,$35.71,$51.09,$58.78,"$74,270","$106,262","$122,258"
Natural Sciences Managers,11-9121,90.00,$43.89,$64.36,$74.60,"$91,291","$133,878","$155,171"
Postmasters and Mail Superintendents,11-9131,10.00,$41.86,$47.93,$50.97,"$87,069","$99,710","$106,030"
"Property, Real Estate, and Community Association Managers",11-9141,410.00,$20.47,$31.58,$37.13,"$42,588","$65,683","$77,231"
Social and Community Service Managers,11-9151,170.00,$24.18,$36.67,$42.91,"$50,302","$76,280","$89,269"
Emergency Management Directors,11-9161,10.00,$28.52,$45.44,$53.90,"$59,330","$94,519","$112,112"
Funeral Home Managers,11-9171,40.00,$24.44,$38.83,$46.02,"$50,850","$80,758","$95,711"
"Managers, All Other",11-9199,570.00,$55.67,$77.44,$88.32,"$115,804","$161,064","$183,694"
Business and Financial Operations Occupations,13-0000,"20,940.00",$29.04,$50.28,$60.89,"$60,409","$104,569","$126,650"
Business Operations Specialists,13-1000,"15,530.00",$30.26,$51.61,$62.28,"$62,953","$107,338","$129,531"
Buyers and Purchasing Agents,13-1020,"2,630.00",$29.13,$48.00,$57.43,"$60,597","$99,839","$119,461"
"Claims Adjusters, Examiners, and Investigators",13-1031,120.00,$23.85,$36.13,$42.28,"$49,611","$75,164","$87,939"
Compliance Officers,13-1041,410.00,$25.11,$42.47,$51.15,"$52,215","$88,331","$106,389"
Cost Estimators,13-1051,290.00,$26.48,$42.12,$49.93,"$55,079","$87,591","$103,846"
Human Resources Specialists,13-1071,"1,560.00",$24.65,$40.94,$49.10,"$51,276","$85,171","$102,119"
Logisticians,13-1081,"3,050.00",$38.04,$54.81,$63.19,"$79,130","$113,995","$131,426"
Project Management Specialists,13-1082,700.00,$38.94,$61.53,$72.83,"$80,991","$127,991","$151,490"
Management Analysts,13-1111,"1,800.00",$41.35,$60.08,$69.44,"$86,007","$124,963","$144,442"
"Meeting, Convention, and Event Planners",13-1121,120.00,$18.43,$27.10,$31.43,"$38,324","$56,363","$65,383"
Fundraisers,13-1131,100.00,$19.74,$29.98,$35.11,"$41,055","$62,368","$73,025"
"Compensation, Benefits, and Job Analysis Specialists",13-1141,60.00,$28.08,$39.84,$45.72,"$58,418","$82,881","$95,111"
Training and Development Specialists,13-1151,530.00,$23.43,$39.08,$46.90,"$48,724","$81,272","$97,547"
Market Research Analysts and Marketing Specialists,13-1161,"1,010.00",$19.76,$36.75,$45.26,"$41,083","$76,454","$94,140"
"Business Operations Specialists, All Other",13-1199,"3,130.00",$41.02,$61.30,$71.44,"$85,314","$127,503","$148,597"
Financial Specialists,13-2000,"5,410.00",$26.55,$46.45,$56.40,"$55,232","$96,615","$117,307"
Accountants and Auditors,13-2011,"3,100.00",$26.94,$42.58,$50.40,"$56,032","$88,572","$104,842"
Property Appraisers and Assessors,13-2020,50.00,$17.53,$31.53,$38.54,"$36,452","$65,584","$80,150"
Budget Analysts,13-2031,580.00,$39.12,$55.61,$63.85,"$81,368","$115,669","$132,818"
Credit Analysts,13-2041,10.00,$29.96,$45.62,$53.46,"$62,314","$94,897","$111,190"
Financial and Investment Analysts,13-2051,640.00,$36.73,$57.15,$67.36,"$76,402","$118,874","$140,109"
Personal Financial Advisors,13-2052,210.00,$22.96,$71.16,$95.27,"$47,761","$148,021","$198,150"
Financial Examiners,13-2061,10.00,$35.55,$50.31,$57.68,"$73,938","$104,633","$119,981"
Credit Counselors,13-2071,,$20.26,$23.95,$25.78,"$42,147","$49,804","$53,632"
Loan Officers,13-2072,420.00,$22.41,$40.75,$49.91,"$46,621","$84,757","$103,825"
"Tax Examiners and Collectors, and Revenue Agents",13-2081,90.00,$22.21,$31.33,$35.88,"$46,196","$65,161","$74,643"
"Financial Specialists, All Other",13-2099,200.00,$27.45,$52.10,$64.42,"$57,099","$108,368","$134,003"
Computer and Mathematical Occupations,15-0000,"19,700.00",$34.22,$57.99,$69.87,"$71,178","$120,613","$145,329"
Computer Occupations,15-1200,"18,700.00",$33.91,$57.92,$69.91,"$70,539","$120,466","$145,430"
Computer Systems Analysts,15-1211,"3,010.00",$40.61,$62.30,$73.15,"$84,472","$129,597","$152,158"
Information Security Analysts,15-1212,"1,570.00",$39.34,$61.68,$72.84,"$81,826","$128,278","$151,503"
Computer and Information Research Scientists,15-1221,490.00,$33.69,$54.72,$65.23,"$70,079","$113,826","$135,698"
Computer Network Support Specialists,15-1231,260.00,$22.46,$33.99,$39.75,"$46,721","$70,701","$82,691"
Computer User Support Specialists,15-1232,"1,290.00",$18.60,$26.30,$30.14,"$38,705","$54,696","$62,692"
Computer Network Architects,15-1241,"1,390.00",$44.40,$67.93,$79.69,"$92,359","$141,289","$165,754"
Database Administrators,15-1242,260.00,$33.94,$50.14,$58.23,"$70,602","$104,280","$121,119"
Database Architects,15-1243,110.00,$41.20,$61.32,$71.38,"$85,695","$127,548","$148,475"
Network and Computer Systems Administrators,15-1244,"1,200.00",$33.71,$50.38,$58.71,"$70,127","$104,795","$122,128"
Computer Programmers,15-1251,270.00,$35.24,$54.69,$64.42,"$73,294","$113,761","$133,994"
Software Developers,15-1252,"7,010.00",$39.26,$62.38,$73.95,"$81,667","$129,753","$153,796"
Software Quality Assurance Analysts and Testers,15-1253,880.00,$39.46,$56.71,$65.33,"$82,081","$117,958","$135,895"
Web Developers,15-1254,120.00,$25.57,$36.77,$42.37,"$53,171","$76,472","$88,121"
Web and Digital Interface Designers,15-1255,,$18.12,$31.70,$38.49,"$37,706","$65,932","$80,046"
"Computer Occupations, All Other",15-1299,820.00,$35.76,$57.36,$68.16,"$74,383","$119,311","$141,774"
Mathematical Science Occupations,15-2000,"1,000.00",$40.84,$59.31,$68.54,"$84,945","$123,356","$142,561"
Mathematicians,15-2021,20.00,,,,,,
Operations Research Analysts,15-2031,330.00,$44.00,$65.55,$76.33,"$91,515","$136,350","$158,767"
Statisticians,15-2041,20.00,$33.78,$49.95,$58.02,"$70,279","$103,887","$120,690"
Data Scientists,15-2051,630.00,$39.93,$56.17,$64.28,"$83,049","$116,822","$133,708"
