task,penetration
"Accept and check containers of mail from large volume mailers, couriers, and contractors.",0.0
"Accept and check containers of mail or parcels from large volume mailers, couriers, and contractors.",0.0
Accept credit applications and verify credit references to provide check-cashing authorization or to establish house credit accounts.,0.0
Accept music requests from event guests.,0.0
"Accept payment from customers, and make change as necessary.",0.0
Accept payment on accounts.,0.0
"Accept payments, and make change or write charge slips as necessary.",0.0
"Accept prescriptions for filling, gathering and processing necessary information.",0.0
Access computerized financial information to answer general questions as well as those related to specific accounts.,0.0
"Access specific areas to string lines, or install terminal boxes, auxiliary equipment, or appliances, using bucket trucks, climbing poles or ladders, or entering tunnels, trenches, or crawl spaces.",0.0
Accompany aircraft as a member of the flight crew to monitor and handle cargo in flight.,0.0
Accompany aircraft on flights to make in-flight adjustments and corrections.,0.0
Accompany and assist emergency medical technicians on calls.,0.0
Accompany and supervise students during meals.,0.0
"Accompany buyers during visits to and inspections of property, advising them on the suitability and value of the homes they are visiting.",0.0
"Accompany children to and from school, on outings, and to medical appointments.",0.0
"Accompany clients to doctors' offices or on other trips outside the home, providing transportation, assistance, and companionship.",0.0
Accompany injured athletes to hospitals.,0.0
"Accompany patients on outings, providing transportation when necessary.",0.0
"Accompany patients to and from wards for medical or dental treatments, shopping trips, or religious or recreational events.",0.0
"Acquire books, pamphlets, periodicals, audio-visual materials, and other library supplies by checking prices, figuring costs, and preparing appropriate order forms and facilitating the ordering process by providing such information to others.",0.0
"Acquire, distribute and store supplies.",0.0
"Acquire, maintain, and repair laboratory equipment and tools.",0.0
"Acquire, or arrange for acquisition of, specimens or graphics required to complete exhibits.",0.0
Act as a liaison between a ship's captain and shore personnel to ensure that schedules and budgets are maintained and that the ship is operated safely and efficiently.,0.0
"Act as a liaison between talent and directors, providing information that performers or guests need to prepare for appearances and communicating relevant information from guests, performers, or staff to directors.",0.0
Act as advisers to student organizations.,0.0
"Act as agent, trustee, guardian, or executor for businesses or individuals.",0.0
Act as an advocate for farmers or farmers' groups.,0.0
Act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,0.9162
"Act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",0.926
Act as client advocates to coordinate required services or to resolve emergency problems in crisis situations.,0.0
